Fmax,Fdrai,Sy,LH,SH,runoff,BTRAN,GPP,TLAI,TOTVEGC,TOTSOMC
0.170344,4.087141,0.359451,60.727,47.502,39.008,0.992,5.121,3.188,10.091,4.986
0.377644,0.824769,0.179442,2.323,89.893,97.169,0.031,0,0,0,4.283
0.615286,2.437202,0.269433,60.719,47.555,39.628,0.992,5.109,3.208,9.961,4.962
0.244444,1.358181,0.299457,60.756,47.494,39.097,0.992,5.12,3.199,10.008,4.968
0.445735,2.982926,0.389448,60.716,47.51,39.074,0.992,5.112,3.184,10.04,4.977
0.766183,4.645757,0.209439,50.261,59.932,63.396,0.998,2.95,1.944,4.389,4.538
0.113099,4.833288,0.27945,60.714,47.511,39.061,0.992,5.113,3.184,10.049,4.978
0.333789,1.536725,0.369441,60.714,47.511,39.061,0.992,5.114,3.184,10.05,4.979
0.549823,3.165612,0.189432,51.534,58.882,67.236,0.999,3.082,2.003,4.738,4.655
0.196173,0.471162,0.219456,53.083,57.473,45.166,0.999,3.501,2.168,6.066,5.058
0.399846,2.075539,0.309447,60.763,47.501,39.156,0.992,5.119,3.203,9.965,4.959
0.655037,3.717489,0.399438,60.746,47.498,39.104,0.992,5.118,3.195,10.015,4.969
0.267364,2.618482,0.339444,60.715,47.511,39.068,0.992,5.113,3.185,10.044,4.977
0.469756,4.273195,0.159443,53.44,57.219,69.41,0.999,3.503,2.282,5.546,4.872
0.869246,1.001969,0.249453,60.232,48.115,41.751,0.99,5.092,3.231,9.857,4.974
0.019995,4.604381,0.350568,60.716,47.5,38.955,0.992,5.122,3.187,10.129,4.993
0.277409,1.318197,0.170559,3.465,89.395,83.878,0.016,0,0,0,3.957
0.480797,2.942508,0.26055,60.722,47.553,39.551,0.992,5.118,3.214,9.97,4.967
0.126576,0.256035,0.290547,53.193,57.383,44.7,0.999,3.521,2.181,6.099,5.066
0.343527,1.855833,0.380565,60.713,47.511,39.054,0.992,5.114,3.185,10.057,4.98
0.56325,3.492148,0.200556,51.686,58.751,66.884,0.999,3.119,2.032,4.798,4.666
0.207268,2.39709,0.140557,5.932,87.919,80.587,0.047,0,0,0,3.716
0.40987,4.046085,0.230553,60.655,47.601,40.074,0.992,5.087,3.193,9.937,4.955
0.674983,0.785079,0.320544,60.667,47.607,39.401,0.991,5.123,3.215,9.993,4.961
0.060381,0.96266,0.210546,53.095,57.471,49.765,0.999,3.499,2.169,6.05,5.055
0.299648,2.578267,0.300564,60.761,47.5,39.125,0.992,5.121,3.203,9.987,4.963
0.506474,4.231528,0.390555,60.711,47.513,39.089,0.992,5.11,3.183,10.029,4.974
0.15528,3.125085,0.330561,60.73,47.501,39.023,0.992,5.12,3.188,10.079,4.984
0.365401,4.791292,0.150555,54.712,56.078,66.308,0.999,3.821,2.47,6.235,5.038
0.595589,1.497115,0.240543,60.674,47.609,40.31,0.992,5.102,3.217,9.982,4.969
0.23139,3.676148,0.270567,60.762,47.503,39.165,0.992,5.119,3.204,9.96,4.959
0.432727,0.43201,0.360558,58.528,50.374,43.95,0.989,4.843,3.08,8.99,4.994
0.728548,2.035631,0.180549,21.917,85.238,75.737,0.435,0.563,0.398,0.561,3.169
0.095327,2.215886,0.25056,60.749,47.493,39.096,0.992,5.118,3.194,10.022,4.97
0.321618,3.861125,0.340551,60.73,47.506,39.089,0.992,5.118,3.191,10.03,4.974
0.533829,0.608419,0.160556,3.772,88.963,102.438,0.147,0,0,0,4.001
0.181969,4.417962,0.190566,55.422,55.498,68.982,0.999,3.939,2.545,6.483,5.092
0.387444,1.140201,0.280557,60.755,47.526,39.281,0.992,5.122,3.211,9.947,4.955
0.632185,2.759908,0.370548,60.758,47.498,39.124,0.992,5.12,3.201,9.991,4.964
0.254678,1.676009,0.400545,60.724,47.505,39.014,0.992,5.121,3.188,10.089,4.986
0.456333,3.308625,0.220563,60.666,47.645,40.627,0.992,5.114,3.235,9.951,4.976
0.803903,4.979205,0.310554,60.766,47.515,39.346,0.992,5.125,3.217,9.995,4.964
0.034221,1.199804,0.263898,60.711,47.52,39.04,0.992,5.12,3.188,10.085,4.985
0.284842,2.820884,0.353889,60.717,47.509,39.06,0.992,5.114,3.185,10.052,4.979
0.489181,4.479876,0.17388,53.36,57.265,69.777,0.999,3.505,2.277,5.588,4.883
0.136423,1.736064,0.203877,59.177,49.28,44.451,0.988,5.068,3.236,9.718,5.019
0.350789,3.369587,0.293895,60.763,47.503,39.177,0.992,5.118,3.204,9.952,4.957
0.573714,0.138973,0.383886,53.186,57.388,45.133,0.999,3.521,2.18,6.1,5.066
0.215395,3.92256,0.323892,60.715,47.51,39.064,0.992,5.113,3.185,10.047,4.978
0.417405,0.667099,0.143888,3.57,89.12,94.551,0.125,0,0,0,4.027
0.69137,2.2764,0.233901,60.624,47.675,40.83,0.992,5.107,3.231,9.94,4.975
0.072522,2.457264,0.393876,60.722,47.497,38.964,0.992,5.123,3.188,10.122,4.992
0.306974,4.10768,0.213894,54.367,56.424,73.727,0.999,3.693,2.382,6.005,4.993
0.515415,0.84438,0.303885,60.69,47.589,39.37,0.991,5.129,3.219,9.97,4.957
0.16434,4.666965,0.243891,60.747,47.514,39.219,0.992,5.115,3.201,9.958,4.956
0.372763,1.37795,0.333882,60.754,47.495,39.104,0.992,5.12,3.199,10.009,4.968
0.607276,3.003152,0.153889,50.784,59.519,69.958,0.999,2.956,1.912,4.501,4.588
0.239213,0.314662,0.183897,12.448,90.776,245.459,0.292,0.101,0.082,0.084,3.522
0.440529,1.915554,0.273888,60.767,47.511,39.325,0.992,5.123,3.214,9.996,4.961
0.750168,3.553264,0.363879,60.761,47.502,39.163,0.992,5.118,3.202,9.962,4.959
0.106103,3.737921,0.16389,55.11,55.806,76.287,0.999,3.851,2.476,6.355,5.079
0.328947,0.490732,0.253881,53.022,57.522,44.976,0.999,3.487,2.159,6.037,5.052
0.54334,2.095504,0.343899,60.764,47.499,39.14,0.992,5.121,3.203,9.979,4.962
0.190568,1.021634,0.373896,60.728,47.501,39.007,0.992,5.121,3.188,10.093,4.986
0.394896,2.6386,0.193887,52.343,58.21,80.012,0.999,3.249,2.075,5.201,4.806
0.645567,4.293788,0.283878,60.711,47.578,39.47,0.991,5.137,3.231,10.005,4.973
0.262334,3.186376,0.313902,60.747,47.494,39.097,0.992,5.118,3.194,10.022,4.971
